['M', 'Iraq', 'Iraq', 'MiddleSchool', 'G-07', 'B', 'Biology', 'F', 'Father', '98', '90', '86', '71', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-08', 'A', 'Arabic', 'S', 'Mum', '83', '75', '62', '53', 'No', 'Bad', 'Under-7', 'H'],M,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-06', 'A', 'English', 'S', 'Mum', '79', '84', '82', '37', 'No', 'Bad', 'Under-7', 'H'],M,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Chemistry', 'S', 'Mum', '72', '76', '66', '40', 'Yes', 'Good', 'Above-7', 'L'],M,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-04', 'A', 'History', 'S', 'Father', '10', '17', '12', '14', 'No', 'Bad', 'Above-7', 'L'],L,
['F', 'KW', 'KuwaIT', 'HighSchool', 'G-12', 'A', 'English', 'F', 'Father', '55', '90', '16', '40', 'No', 'Bad', 'Under-7', 'M'],M,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-08', 'A', 'Spanish', 'S', 'Father', '5', '3', '2', '10', 'Yes', 'Good', 'Under-7', 'L'],L,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-02', 'A', 'IT', 'F', 'Father', '8', '25', '1', '70', 'No', 'Bad', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'F', 'Father', '50', '77', '14', '28', 'No', 'Bad', 'Under-7', 'M'],M,
['M', 'Palestine', 'Jordan', 'MiddleSchool', 'G-07', 'B', 'Biology', 'S', 'Father', '79', '72', '79', '83', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'Palestine', 'Jordan', 'MiddleSchool', 'G-06', 'A', 'English', 'S', 'Mum', '92', '31', '42', '27', 'Yes', 'Good', 'Under-7', 'H'],M,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'B', 'Arabic', 'S', 'Father', '29', '10', '12', '24', 'No', 'Bad', 'Above-7', 'L'],M,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'History', 'S', 'Mum', '70', '76', '65', '70', 'Yes', 'Good', 'Above-7', 'M'],M,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'F', 'Mum', '90', '79', '76', '79', 'Yes', 'Good', 'Under-7', 'H'],H,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'History', 'S', 'Father', '35', '14', '23', '62', 'No', 'Bad', 'Above-7', 'L'],L,
accuracy : 0.5833333333333334

